userId,username,xp,level
169678500893163520,Erisly,10,1
643038015437930498,kersived,10,1
716118482906906655,4ntizero,40,2
917645501820723280,woahyourdogwater,30,1
1117725271336964157,_s7x_,40,1
1101476120932667432,LightBot,30,1
841277709354008577,Friction™,10,1
1086515680465141760,Econ Homie,50,1
780570413767983122,MediaForge,40,1
706935674800177193,XP,60,1
924540290461736971,Watcher,40,1
303799630532050946,Elite Looter,10,1
595989293961314304,.drife,30,1
388964061397778432,lenofag2000,10,1
146293573422284800,OcelotBOT,40,1
788446464547356743,lancaster34,10,1
1108731773443129387,mehmet_generator,80,1
688836512019644435,mofx,10,1
1130568604937617549,cyphergregory,30,1
183940132129210369,rjgamer1002,10,2
1043990016696795207,Humilde,10,1
558039389067018280,sniper060,40,1
567540642788540416,fantomphrost,20,1
851888360040824852,Mercury,10,1
189078368522600449,RobotOtter,20,1
1151311152496779294,flonch,10,1
9981709371576840242,andronicus9256,10,1
381387277764395008,Rias,10,1
903690362114158632,R.O.T.I,10,1
327975337663135744,maxii3247,10,1
471409054594498561,ukpm,20,1
694785745487003696,luckyluke34,10,1
69089633215979520,splitpixl,30,2
558635528342208523,neofetch.sh,10,1
420309589473493033,Multiplen,10,1
276782057412362241,exohayvan,50,1
727075947638947852,patelnirmal,10,1
916293204545003600,cadnollwynog,70,1
155867458203287552,kodehawa,30,1
769723482669842433,marshmallowco,60,1
736479302870368317,alon5757,30,2
1148925618772267048,rootl.,10,1
1003032651097178263,xhowtyx,30,1
1134772151426224178,yavuzselim0377,10,1
1146712164908945408,halil34kayra3,40,1
1120801707857805343,demkoexe,20,1
692450257644027934,ibrahim0019,10,1
1154814814481305672,sujpol,10,1
857913672411643904,tavidev,30,1
576741348154277945,blepygolepy,80,1
503061768726118401,bikucomics,10,1
644715405666943018,cheakwangho,60,1
773193286776389653,axelbolston,20,1
853178500193583104,_cool_guy__,90,1
628400349979344919,StickyBot,10,1
878253816531812412,JamJar,10,1
438959507389808641,Aiura,10,1
845746467641753600,S-Bot,10,1
960101593238347856,DChaoFileVisualizerBot,10,1
916347998794043454,Xu Music,10,1
174202555981758464,Clarity,10,1
1090749064343199834,xjayay,20,1
959609348097708071,_xjpx,10,1
474290761358376960,tom.006,60,1
